"scientific_name","family","taxonrank","gbif_rec"
"Uroderma bilobatum Peters, 1866","Phyllostomidae","SPECIES","33"
"Sturnira koopmanhilli McCarthy, Albuja V. & Alberico, 2006","Phyllostomidae","SPECIES","33"
"Vampyressa nymphaea Thomas, 1909","Phyllostomidae","SPECIES","32"
"Microryzomys altissimus (Osgood, 1933)","Cricetidae","SPECIES","32"
"Phyllostomidae","Phyllostomidae","FAMILY","32"
"Dermanura glauca (Thomas, 1893)","Phyllostomidae","SPECIES","31"
"Phyllostomus hastatus (Pallas, 1767)","Phyllostomidae","SPECIES","30"
"Mesophylla macconnelli Thomas, 1901","Phyllostomidae","SPECIES","29"
"Cricetidae","Cricetidae","FAMILY","29"
"Enchisthenes hartii (Thomas, 1892)","Phyllostomidae","SPECIES","28"
"Puma concolor (Linnaeus, 1771)","Felidae","SPECIES","28"
"Thomasomys aureus (Tomes, 1860)","Cricetidae","SPECIES","28"
"Myotis caucensis J.A.Allen, 1914","Vespertilionidae","SPECIES","27"
"Handleyomys fuscatus (J.A.Allen, 1912)","Cricetidae","SPECIES","27"
"Pecari tajacu (Linnaeus, 1758)","Tayassuidae","SPECIES","27"
"Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)","Felidae","SPECIES","25"
"Puma yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)","Felidae","SPECIES","24"
"Platyrrhinus Saussure, 1860","Phyllostomidae","GENUS","24"
"Lontra longicaudis (Olfers, 1818)","Mustelidae","SPECIES","23"
"Artibeus Leach, 1821","Phyllostomidae","GENUS","22"
"Akodon Meyen, 1833","Cricetidae","GENUS","22"
"Dermanura rosenbergi Thomas, 1897","Phyllostomidae","SPECIES","22"
"Coendou rufescens (Gray, 1865)","Erethizontidae","SPECIES","21"
"Sturnira aratathomasi Peterson & Tamsitt, 1968","Phyllostomidae","SPECIES","20"
"Sturnira mordax (Goodwin, 1938)","Phyllostomidae","SPECIES","20"
"Chiroderma salvini Dobson, 1878","Phyllostomidae","SPECIES","19"
"Thomasomys Coues, 1884","Cricetidae","GENUS","19"
"Myotis Kaup, 1829","Vespertilionidae","GENUS","19"
"Gardnerycteris crenulatum (E.Geoffroy, 1803)","Phyllostomidae","SPECIES","18"
"Marmosops impavidus (Tschudi, 1845)","Didelphidae","SPECIES","18"
"Micronycteris megalotis (Gray, 1842)","Phyllostomidae","SPECIES","18"
"Chironectes minimus (Zimmermann, 1780)","Didelphidae","SPECIES","18"
"Cuniculus Brisson, 1762","Cuniculidae","GENUS","18"
"Uroderma convexum Lyon, 1902","Phyllostomidae","SPECIES","17"
"Cuniculus taczanowskii (Stolzmann, 1865)","Cuniculidae","SPECIES","17"
"Isthmomys Hooper & Musser, 1964","Cricetidae","GENUS","16"
"Caluromys derbianus (Waterhouse, 1841)","Didelphidae","SPECIES","16"
"Marmosa demerarae (O.Thomas, 1905)","Didelphidae","SPECIES","16"
"Didelphis albiventris Lund, 1840","Didelphidae","SPECIES","15"
"Cebus capucinus (Linnaeus, 1758)","Cebidae","SPECIES","15"
"Aotus Illiger, 1811","Aotidae","GENUS","15"
"Peromyscus leucopus (Rafinesque, 1818)","Cricetidae","SPECIES","15"
"Sturnira parvidens Goldman, 1917","Phyllostomidae","SPECIES","15"
"Mazama Rafinesque, 1817","Cervidae","GENUS","14"
"Dermanura rava Miller, 1902","Phyllostomidae","SPECIES","14"
"Rattus norvegicus (Berkenhout, 1769)","Muridae","SPECIES","14"
"Noctilio albiventris Desmarest, 1818","Noctilionidae","SPECIES","14"
"Tadarida brasiliensis (I.Geoffroy, 1824)","Molossidae","SPECIES","14"
"Glyphonycteris daviesi (Hill, 1964)","Phyllostomidae","SPECIES","14"
"Thomasomys laniger (Thomas, 1895)","Cricetidae","SPECIES","14"
"Hydrochoerus hydrochaeris (Linnaeus, 1766)","Caviidae","SPECIES","14"
"Lonchophylla robusta Miller, 1912","Phyllostomidae","SPECIES","14"
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013","Procyonidae","SPECIES","13"
"Microryzomys minutus (Tomes, 1860)","Cricetidae","SPECIES","13"
"Carollia subrufa (Hahn, 1905)","Phyllostomidae","SPECIES","13"
"Caenolestes convelatus Anthony, 1924","Caenolestidae","SPECIES","13"
"Lophostoma silvicola d'Orbigny, 1836","Phyllostomidae","SPECIES","12"
"Hydrochoerus isthmius Goldman, 1912","Caviidae","SPECIES","12"
"Glossophaga commissarisi Gardner, 1962","Phyllostomidae","SPECIES","12"
"Uroderma bakeri Mantilla-Meluk, 2014","Phyllostomidae","SPECIES","12"
"Dinomys branickii Peters, 1873","Dinomyidae","SPECIES","12"
"Lonchophylla concava Goldman, 1914","Phyllostomidae","SPECIES","11"
"Platyrrhinus umbratus (Lyon, 1902)","Phyllostomidae","SPECIES","11"
"Mazama rufina (Bourcier & Pucheran, 1852)","Cervidae","SPECIES","11"
"Vampyressa pusilla (Wagner, 1843)","Phyllostomidae","SPECIES","10"
"Procyon cancrivorus G","Procyonidae","SPECIES","10"
"Myotis keaysi J.A.Allen, 1914","Vespertilionidae","SPECIES","10"
"Odocoileus virginianus goudotii (Gay & Gervais, 1846)","Cervidae","SUBSPECIES","10"
"Tapirus pinchaque (Roulin, 1829)","Tapiridae","SPECIES","9"
"Artibeus cinereus (Gervais, 1856)","Phyllostomidae","SPECIES","9"
"Necromys urichi (J.A.Allen & Chapman, 1897)","Cricetidae","SPECIES","9"
"Molossus E.Geoffroy, 1805","Molossidae","GENUS","9"
"Saccopteryx leptura (Schreber, 1774)","Emballonuridae","SPECIES","9"
"Choeroniscus godmani (Thomas, 1903)","Phyllostomidae","SPECIES","9"
"Diclidurus albus Wied-Neuwied, 1820","Emballonuridae","SPECIES","9"
"Histiotus montanus (Philippi & Landbeck, 1861)","Vespertilionidae","SPECIES","9"
"Micronycteris hirsuta (Peters, 1869)","Phyllostomidae","SPECIES","8"
"Myotis albescens (E.Geoffroy, 1806)","Vespertilionidae","SPECIES","8"
"Megaptera novaeangliae (Borowski, 1781)","Balaenopteridae","SPECIES","8"
"Mimon cozumelae Goldman, 1914","Phyllostomidae","SPECIES","8"
"Artibeus phaeotis (Miller, 1902)","Phyllostomidae","SPECIES","8"
