"scientific_name","family","taxonrank","gbif_rec"
"Cercosaura argulus Peters, 1862","Gymnophthalmidae","SPECIES","11"
"Lepidoblepharis Peracca, 1897","Sphaerodactylidae","GENUS","10"
"Anolis chocorum Williams & Duellman, 1967","Dactyloidae","SPECIES","10"
"Atractus clarki Dunn & Bailey, 1939","Colubridae","SPECIES","10"
"Bothrops punctatus (Garcia, 1896)","Viperidae","SPECIES","10"
"Chelydra acutirostris Peters, 1862","Chelydridae","SPECIES","10"
"Norops antonii (Boulenger, 1908)","Dactyloidae","SPECIES","10"
"Chironius grandisquamis (Peters, 1869)","Colubridae","SPECIES","10"
"Trachyboa boulengeri Peracca, 1910","Tropidophiidae","SPECIES","10"
"Mabuya mabouya (Bonnaterre, 1789)","Scincidae","SPECIES","10"
"Leptophis depressirostris (Cope, 1861)","Colubridae","SPECIES","10"
"Tantilla Baird & Girard, 1853","Colubridae","GENUS","10"
"Anolis biporcatus (Wiegmann, 1834)","Dactyloidae","SPECIES","9"
"Anolis gracilipes Boulenger, 1898","Dactyloidae","SPECIES","9"
"Anolis purpurescens Cope, 1899","Dactyloidae","SPECIES","9"
"Phrynonax shropshirei (Barbour & Amaral, 1924)","Colubridae","SPECIES","9"
"Dendrophidion clarkii Dunn, 1933","Colubridae","SPECIES","9"
"Chironius carinatus (Linnaeus, 1758)","Colubridae","SPECIES","9"
"Phrynonax poecilonotus (Günther, 1858)","Colubridae","SPECIES","8"
"Lepidoblepharis intermedius Boulenger, 1914","Sphaerodactylidae","SPECIES","8"
"Leptophis ahaetulla urostictus (Peters, 1873)","Colubridae","SUBSPECIES","8"
"Erythrolamprus mimus (Cope, 1868)","Colubridae","SPECIES","8"
"Anolis parvauritus (Williams, 1966)","Dactyloidae","SPECIES","8"
"Mastigodryas pulchriceps (Cope, 1868)","Colubridae","SPECIES","8"
"Bothrocophias myersi Gutberlet & Campbell, 2001","Viperidae","SPECIES","8"
"Urotheca lateristriga (Berthold, 1859)","Colubridae","SPECIES","8"
"Trachemys callirostris callirostris","Emydidae","SUBSPECIES","8"
"Xenodon rabdocephalus (Wied-Neuwied, 1824)","Colubridae","SPECIES","8"
"Iguana Laurenti, 1768","Iguanidae","GENUS","8"
"Liophis pseudocobella Peracca, 1914","Colubridae","SPECIES","8"
"Anolis calimae Ayala, Harris & Williams, 1983","Dactyloidae","SPECIES","8"
"Erythrolamprus aesculapii (Linnaeus, 1758)","Colubridae","SPECIES","8"
