"scientific_name","family","taxonrank","gbif_rec"
"Prestoea acuminata (Willd.) H.E.Moore","Arecaceae","SPECIES","178"
"Otoba lehmannii (A.C.Sm.) A.H.Gentry","Myristicaceae","SPECIES","176"
"Malpighia glabra L.","Malpighiaceae","SPECIES","176"
"Capparis amplissima Lam.","Capparaceae","SPECIES","173"
"Tillandsia recurvata (L.) L.","Bromeliaceae","SPECIES","172"
"Psychotria L.","Rubiaceae","GENUS","170"
"Palicourea ovalis Standl.","Rubiaceae","SPECIES","169"
"Geonoma deversa (Poit.) Kunth","Arecaceae","SPECIES","169"
"Asteraceae","Asteraceae","FAMILY","166"
"Genipa americana L.","Rubiaceae","SPECIES","164"
"Saurauia brachybotrys Turcz.","Actinidiaceae","SPECIES","164"
"Zanthoxylum rigidum Humb. & Bonpl. ex Willd.","Rutaceae","SPECIES","164"
"Attalea cuatrecasana (Dugand) A.J.Hend. et al.","Arecaceae","SPECIES","164"
"Miconia caudata (Humb. & Bonpl.) DC.","Melastomataceae","SPECIES","161"
"Columnea L.","Gesneriaceae","GENUS","160"
"Stenospermation Schott","Araceae","GENUS","159"
"Eucalyptus L'Hér.","Myrtaceae","GENUS","159"
"Manicaria saccifera Gaertn.","Arecaceae","SPECIES","158"
"Zanthoxylum verrucosum (Cuatrec.) P.G.Waterman","Rutaceae","SPECIES","153"
"Trema micranthum (L.) Blume","Cannabaceae","SPECIES","152"
"Iriartea deltoidea Ruiz & Pav.","Arecaceae","SPECIES","151"
"Guapira costaricana (Standl.) Woodson","Nyctaginaceae","SPECIES","150"
"Leucaena leucocephala (Lam.) de Wit","Fabaceae","SPECIES","150"
"Zanthoxylum rhoifolium Lam.","Rutaceae","SPECIES","147"
"Clarisia biflora Ruiz & Pav.","Moraceae","SPECIES","146"
"Guatteria Ruiz & Pav.","Annonaceae","GENUS","145"
"Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen","Lauraceae","SPECIES","145"
"Myrtaceae","Myrtaceae","FAMILY","145"
"Chrysochlamys dependens Planch. & Triana","Clusiaceae","SPECIES","145"
"Zea mays subsp. mays","Poaceae","SUBSPECIES","145"
"Toxicodendron striatum (Ruiz & Pav.) Kuntze","Anacardiaceae","SPECIES","145"
"Cyathea J.E.Sm.","Cyatheaceae","GENUS","144"
"Clitoria fairchildiana R.A.Howard","Fabaceae","SPECIES","142"
"Palicourea angustifolia Kunth","Rubiaceae","SPECIES","141"
"Besleria L.","Gesneriaceae","GENUS","141"
"Croton schiedeanus Schltdl.","Euphorbiaceae","SPECIES","139"
"Ericaceae","Ericaceae","FAMILY","135"
"Gliricidia sepium (Jacq.) Kunth ex Walp.","Fabaceae","SPECIES","135"
"Fabaceae","Fabaceae","FAMILY","133"
"Burmeistera H.Karst. & Triana","Campanulaceae","GENUS","133"
"Persea americana Mill.","Lauraceae","SPECIES","132"
"Moraceae","Moraceae","FAMILY","131"
"Chelyocarpus dianeurus (Burret) H.E.Moore","Arecaceae","SPECIES","130"
"Annona muricata L.","Annonaceae","SPECIES","130"
"Furcraea cabuya Trel.","Asparagaceae","SPECIES","129"
"Blakea P.Browne","Melastomataceae","GENUS","129"
"Asterogyne martiana (H.Wendl.) H.Wendl.","Arecaceae","SPECIES","129"
"Cordia alliodora (Ruiz & Pav.) Oken","Cordiaceae","SPECIES","128"
"Symphonia globulifera L.fil.","Clusiaceae","SPECIES","127"
"Avicennia germinans (L.) L.","Acanthaceae","SPECIES","126"
"Cestrum L.","Solanaceae","GENUS","126"
"Pisonia aculeata L.","Nyctaginaceae","SPECIES","125"
"Pleurothallis R.Br.","Orchidaceae","GENUS","123"
"Cavendishia Lindl.","Ericaceae","GENUS","120"
"Anthurium nigrescens Engl.","Araceae","SPECIES","120"
"Pteridium aquilinum (L.) Kuhn","Dennstaedtiaceae","SPECIES","118"
"Tillandsia usneoides (L.) L.","Bromeliaceae","SPECIES","118"
"Poaceae","Poaceae","FAMILY","117"
"Protium Burm.f.","Burseraceae","GENUS","117"
"Chamaedorea Willd.","Arecaceae","GENUS","115"
"Heliconia L.","Heliconiaceae","GENUS","115"
"Syagrus sancona (Kunth) H.Karst.","Arecaceae","SPECIES","114"
"Zanthoxylum fagara (L.) Sarg.","Rutaceae","SPECIES","113"
"Gesneriaceae","Gesneriaceae","FAMILY","112"
"Licania Aubl.","Chrysobalanaceae","GENUS","111"
"Cecropia angustifolia Trécul","Urticaceae","SPECIES","108"
"Mora oleifera (Triana ex Hemsl.) Ducke","Fabaceae","SPECIES","108"
"Ladenbergia oblongifolia (Humb. ex Mutis) L.Andersson","Rubiaceae","SPECIES","107"
"Bactris hondurensis Standl.","Arecaceae","SPECIES","107"
"Caesalpinia pluviosa DC.","Fabaceae","SPECIES","107"
