"scientific_name","family","gbif_rec"
"Ossaea spicata Gleason","Melastomataceae","8"
"Erythroxylum macrophyllum Cav.","Erythroxylaceae","8"
"Erythrina L.","Fabaceae","8"
"Passifloraceae","Passifloraceae","8"
"Passiflora vitifolia Kunth","Passifloraceae","8"
"Passiflora tolimana Harms","Passifloraceae","8"
"Elaphoglossum peltatum (Sw.) Urb.","Dryopteridaceae","8"
"Merremia umbellata (L.) Hallier fil.","Convolvulaceae","8"
"Erechtites hieraciifolius (L.) Raf. ex DC.","Asteraceae","8"
"Passiflora pubera Planch. & Linden ex Triana & Planch.","Passifloraceae","8"
"Passiflora praeacuta Mast.","Passifloraceae","8"
"Palicourea andina C.M.Taylor","Rubiaceae","8"
"Fuchsia putumayensis Munz","Onagraceae","8"
"Passiflora pacifica L.K.Escobar","Passifloraceae","8"
"Palicourea campyloneuroides (Standl.) C.M.Taylor","Rubiaceae","8"
"Epipremnum aureum (Linden & André) G.S.Bunting","Araceae","8"
"Elephantopus mollis Kunth","Asteraceae","8"
"Chrysochlamys eclipes L.O.Williams","Clusiaceae","8"
"Chlorospatha mirabilis (W.Bull) Madison","Araceae","8"
"Chlorospatha bullata Croat & L.P.Hannon","Araceae","8"
"Rhynchosia reticulata (Sw.) DC.","Fabaceae","8"
"Richeria Vahl","Phyllanthaceae","8"
"Macleania antioquiae B.Fedtsch. & Basil.","Ericaceae","8"
"Cestrum alternifolium (Jacq.) O.E.Schulz","Solanaceae","8"
"Cissus obliqua Ruiz & Pav.","Vitaceae","8"
"Mimosa L.","Fabaceae","8"
"Zingiberaceae","Zingiberaceae","8"
"Hippocrateaceae","Hippocrateaceae","7"
"Racinaea spiculosa (Griseb.) M.A.Spencer & L.B.Sm.","Bromeliaceae","7"
"Yucca aloifolia L.","Asparagaceae","7"
"Cnidoscolus aconitifolius (Mill.) I.M.Johnst.","Euphorbiaceae","7"
"Calyptranthes Sw.","Myrtaceae","7"
"Chuquiraga jussieui J.F.Gmel.","Asteraceae","7"
"Ficus valaria C.C.Berg","Moraceae","7"
"Piper confertinodum (Trel. & Yunck.) M.A.Jaram. & Callejas","Piperaceae","7"
"Sisyrinchium micranthum Cav.","Iridaceae","7"
"Varronia cylindrostachya Ruiz & Pav.","Cordiaceae","7"
"Monnina fastigiata (Bonpl.) DC.","Polygalaceae","7"
"Weinmannia tolimensis Cuatrec.","Cunoniaceae","7"
"Tillandsia tetrantha var. caribaea (L.B.Sm.) Gouda","Bromeliaceae","7"
"Piper carpunya Ruiz & Pav.","Piperaceae","7"
"Piper cararense Trel. & Yunck.","Piperaceae","7"
"Guzmania musaica var. concolor L.B.Sm.","Bromeliaceae","7"
"Marila geminata Cuatrec.","Calophyllaceae","7"
"Alloneuron Pilg.","Melastomataceae","7"
"Norantea guianensis Aubl.","Marcgraviaceae","7"
"Diplazium Sw.","Athyriaceae","7"
"Malachra alceifolia Jacq.","Malvaceae","7"
"Apeiba glabra Aubl.","Malvaceae","7"
"Antigonon leptopus Hook. & Arn.","Polygonaceae","7"
"Ficus glabrata Kunth","Moraceae","7"
"Schnella guianensis (Aubl.) Wunderlin","Fabaceae","7"
"Senna bacillaris (L.f.) H.S.Irwin & Barneby","Fabaceae","7"
"Welfia georgei H.Wendl.","Arecaceae","7"
"Clusiella macropetala Cuatrec.","Calophyllaceae","7"
"Hoffmannia longipetiolata Pol.","Rubiaceae","7"
"Senecio L.","Asteraceae","7"
"Columnea lehmannii Mansf.","Gesneriaceae","7"
"Ficus elastica Roxb. ex Hornem.","Moraceae","7"
"Nectandra longifolia A.Rich.","Lauraceae","7"
"Gustavia foliosa Cuatrec.","Lecythidaceae","7"
"Desmodium triflorum (L.) DC.","Fabaceae","7"
"Diplostephium tolimense Cuatrec.","Asteraceae","7"
"Ficus elastica Roxb.","Moraceae","7"
"Peperomia tetraphylla (G.Forst.) Hook. & Arn.","Piperaceae","7"
"Phytolacca L.","Phytolaccaceae","7"
"Psammisia dolichopoda A.C.Sm.","Ericaceae","7"
"Columnea filipes Oliv.","Gesneriaceae","7"
"Sematophyllum subpinnatum (Brid.) E.Britton","Sematophyllaceae","7"
"Monimiaceae","Monimiaceae","7"
"Schlegelia chocoensis A.H.Gentry","Schlegeliaceae","7"
"Paradrymonia gigantea Wiehler","Gesneriaceae","7"
"Sematophyllum caespitosum Mitt.","Sematophyllaceae","7"
"Disterigma agathosmoides (Wedd.) Nied.","Ericaceae","7"
"Lepidopilum permarginatum R.S.Williams","Pilotrichaceae","7"
"Disterigma appendiculatum Pedraza","Ericaceae","7"
"Cecropia insignis Liebm.","Urticaceae","7"
"Dahlia ×pinnata Cav.","Asteraceae","7"
"Meliosma vasquezii A.H.Gentry","Sabiaceae","7"
"Acanthospermum hispidum DC.","Asteraceae","7"
"Cybianthus magnus (Mez) Pipoly","Primulaceae","7"
"Mesonodon flavescens (Hook.) W.R.Buck","Entodontaceae","7"
"Philodendron trojitense Croat & D.C.Bay","Araceae","7"
"Hesperomeles Lindl.","Rosaceae","7"
"Compsoneura mutisii A.C.Sm.","Myristicaceae","7"
"Topobea alternifolia Gleason","Melastomataceae","7"
"Topobea castanedae Wurdack","Melastomataceae","7"
"Ocotea macropoda (Kunth) Mez","Lauraceae","7"
"Asplundia gamotepala Harling","Cyclanthaceae","7"
"Meriania tomentosa (Cogn.) Wurdack","Melastomataceae","7"
"Quiina cajambrensis Cuatrec.","Quiinaceae","7"
"Acaciella holtonii Britton & Killip","Fabaceae","7"
"Smilax silverstonei Botina","Smilacaceae","7"
"Cayaponia Silva Manso","Cucurbitaceae","7"
"Ipomoea nil (L.) Roth","Convolvulaceae","7"
"Selaginella tomentosa Spring","Selaginellaceae","7"
"Psychotria grandis Sw.","Rubiaceae","7"
"Heliconia cordata L.Andersson","Heliconiaceae","7"
"Clusia nutans Planch. & Triana","Clusiaceae","7"
"Selaginella silvestris Aspl.","Selaginellaceae","7"
"Rauvolfia L.","Apocynaceae","7"
"Faramea occidentalis (L.) A.Rich.","Rubiaceae","7"
"Anthurium pedatum (Kunth) Endl. ex Kunth","Araceae","7"
"Anthurium oxybelium Schott","Araceae","7"
"Vanilla odorata C.Presl","Orchidaceae","7"
"Myrcianthes rhopaloides (Kunth) McVaugh","Myrtaceae","7"
"Gurania spinulosa (Poepp. & Endl.) Cogn.","Cucurbitaceae","7"
"Caesalpinia Plum. ex L.","Fabaceae","7"
"Schefflera macrophylla Cuatrec.","Araliaceae","7"
"Anthurium miriamiae Croat","Araceae","7"
"Geissanthus kalbreyeri Mez","Primulaceae","7"
"Calliandra Benth.","Fabaceae","7"
"Faramea glandulosa Poepp.","Rubiaceae","7"
"Pyrostegia venusta (Ker Gawl.) Miers","Bignoniaceae","7"
"Endlicheria rubriflora Mez","Lauraceae","7"
"Inga holtonii Pittier","Fabaceae","7"
"Peperomia blanda (Jacq.) Kunth","Piperaceae","7"
"Philodendron rhodoaxis subsp. lewisii Croat & Grayum","Araceae","7"
"Cassipourea calimensis Cuatrec.","Rhizophoraceae","7"
"Hieronyma alchorneoides Allemão","Phyllanthaceae","7"
"Philodendron radiatum Schott","Araceae","7"
"Castilleja fissifolia L.fil.","Orobanchaceae","7"
"Pentagonia sprucei Standl.","Rubiaceae","7"
"Pentagonia magnifica K.Krause","Rubiaceae","7"
"Dichapetalum Thouars","Dichapetalaceae","7"
"Nicandra physalodes (L.) Gaertn.","Solanaceae","7"
"Freziera longipes Tul.","Pentaphylacaceae","7"
"Anthurium licium Croat & Oberle","Araceae","7"
"Psychotria nervosa Sw.","Rubiaceae","7"
"Evolvulus nummularius (L.) L.","Convolvulaceae","7"
"Selaginella geniculata (C.Presl) Spring","Selaginellaceae","7"
"Burmeistera xerampelina E.Wimm.","Campanulaceae","7"
"Palicourea sancti-ciprianii C.M.Taylor","Rubiaceae","7"
"Psychotria pilosa Glaz., 1909","Rubiaceae","7"
"Chamaecrista nictitans var. ramosa (Vogel) H.S.Irwin & Barneby","Fabaceae","7"
"Casuarina equisetifolia L.","Casuarinaceae","7"
"Hyptis mutabilis (Rich.) Briq.","Lamiaceae","7"
"Clusia ducu Benth.","Clusiaceae","7"
"Alloplectus panamensis C.V.Morton","Gesneriaceae","7"
"Oleandra articulata (Sw.) C.Presl","Oleandraceae","7"
"Euphorbia thymifolia L.","Euphorbiaceae","7"
"Philodendron opacum Croat & Grayum","Araceae","7"
"Theobroma simiarum Donn.Sm.","Malvaceae","7"
"Henriettella trachyphylla Triana","Melastomataceae","7"
"Catagonium brevicaudatum Müll.Hal.","Catagoniaceae","7"
"Anthurium inunctum Croat","Araceae","7"
"Aiphanes duquei Burret","Arecaceae","7"
"Schefflera cajambrensis Cuatrec.","Araliaceae","7"
"Oncidium adelaidae Königer","Orchidaceae","7"
"Miconia blakeaefolia Gleason","Melastomataceae","7"
"Catopsis nutans (Sw.) Griseb.","Bromeliaceae","7"
"Eschweilera integrifolia (Ruiz & Pav. ex Miers) R.Knuth","Lecythidaceae","7"
"Dryopteris Adans.","Dryopteridaceae","7"
"Euphorbia laurifolia Juss. ex Lam.","Euphorbiaceae","7"
"Piper arboreum Aubl.","Piperaceae","7"
"Cordia bifurcata Roem. & Schult.","Cordiaceae","7"
"Oocystis Nägeli ex A.Braun, 1855","Oocystaceae","7"
"Selaginella cheiromorpha Alston","Selaginellaceae","7"
"Guatteria vallensis Maas & Westra","Annonaceae","7"
"Miconia silverstonei Wurdack","Melastomataceae","7"
"Andira chigorodensis R.T.Penn.","Fabaceae","7"
"Centrosema (DC.) Benth.","Fabaceae","7"
"Macromitrium subcirrhosum Müll.Hal.","Orthotrichaceae","7"
"Piper setosum Trel. & Yunck.","Piperaceae","7"
"Pelexia olivacea Rolfe","Orchidaceae","7"
"Thibaudia pachypoda A.C.Sm.","Ericaceae","7"
"Licania chocoensis Cuatrec.","Chrysobalanaceae","7"
"Euphorbia graminea Jacq.","Euphorbiaceae","7"
"Mandevilla bracteata (Kunth) Kuntze","Apocynaceae","7"
"Aristolochia grandiflora Sw.","Aristolochiaceae","7"
"Gaultheria myrsinoides Kunth","Ericaceae","7"
"Passiflora mollis Kunth","Passifloraceae","7"
"Closterium Nitzsch ex Ralfs, 1848","Closteriaceae","7"
"Mimosa trianae Benth.","Fabaceae","7"
"Inga macrophylla Humb. & Bonpl. ex Willd.","Fabaceae","7"
"Psychotria viridis Ruiz & Pav.","Rubiaceae","7"
"Mitracarpus hirtus (L.) DC.","Rubiaceae","7"
"Tridax procumbens L.","Asteraceae","7"
"Microchilus C.Presl","Orchidaceae","7"
"Cavendishia coccinea A.C.Sm.","Ericaceae","7"
"Pediastrum Meyen, 1829","Hydrodictyaceae","7"
"Anthurium filiforme Engl.","Araceae","7"
"Datura stramonium L.","Solanaceae","7"
"Dystovomita clusiifolia (Maguire) D' Arcy","Clusiaceae","7"
"Serpocaulon maritimum (Hieron.) A.R.Sm.","Polypodiaceae","7"
"Anthurium durangoense Croat","Araceae","7"
"Aeschynomene elegans Schltdl. & Cham.","Fabaceae","7"
"Monstera obliqua Miq.","Araceae","7"
"Podandrogyne decipiens (Triana & Planch.) Woodson","Cleomaceae","7"
"Monochaetum lineatum (D.Don) Naudin","Melastomataceae","7"
"Boehmeria nivea (L.) Gaudich.","Urticaceae","7"
"Ternstroemia meridionalis Mutis ex L.fil.","Pentaphylacaceae","7"
"Adelonema kvistii (Croat) S.Y.Wong & Croat","Araceae","7"
"Triplaris melaenodendron (Bertol.) Standl. & Steyerm.","Polygonaceae","7"
"Viola stipularis Sw.","Violaceae","7"
"Pinus caribaea Morelet","Pinaceae","7"
"Trichodrymonia sericea (Wiehler) M.M.Mora & J.L.Clark","Gesneriaceae","7"
"Pseudelephantopus spicatus (Juss. ex Aubl.) Rohr","Asteraceae","7"
"Ronnbergia morreniana Linden & André","Bromeliaceae","7"
"Siparuna gigantotepala S.S.Renner & Hausner","Siparunaceae","7"
"Blechnum volubile Kaulf.","Blechnaceae","7"
"Capanea affinis Fritsch","Gesneriaceae","7"
"Anthurium chlorocarpum Sodiro","Araceae","7"
"Inga acrocephala Steud.","Fabaceae","7"
"Guzmania rhonhofiana Harms","Bromeliaceae","7"
"Huperzia reflexa (Lam.) Trevis.","Lycopodiaceae","7"
"Plukenetia L.","Euphorbiaceae","7"
"Asplenium radicans L.","Aspleniaceae","7"
"Alchorneopsis floribunda (Benth.) Müll.Arg.","Euphorbiaceae","7"
"Miconia lonchophylla Naudin","Melastomataceae","7"
"Monstera pinnatipartita Schott","Araceae","7"
"Conostegia attenuata Triana","Melastomataceae","7"
"Blechnum binervatum (Poir.) C.V.Morton & Lellinger","Blechnaceae","7"
"Pleurothyrium synandrum van der Werff","Lauraceae","7"
"Borreria ocymoides (Burm.f.) DC.","Rubiaceae","7"
"Argemone mexicana L.","Papaveraceae","7"
"Miconia lepidota DC.","Melastomataceae","7"
"Sloanea guianensis (Aubl.) Benth.","Elaeocarpaceae","7"
"Lonchocarpus punctatus Kunth","Fabaceae","7"
"Borreria prostrata (Aubl.) Miq.","Rubiaceae","7"
"Hamelia xerocarpa Kuntze","Rubiaceae","7"
"Pleurothyrium crassitepalum van der Werff","Lauraceae","7"
"Xylosma J.R.Forst. & G.Forst.","Salicaceae","7"
"Jatropha L.","Euphorbiaceae","7"
"Callicarpa L.","Lamiaceae","7"
"Philodendron ensifolium subsp. ensifolium","Araceae","7"
"Virola calimensis D.Santam.","Myristicaceae","7"
"Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","7"
"Blakea inflata (Triana) Penneys & Judd","Melastomataceae","7"
"Huperzia linifolia (L.) Trevis.","Lycopodiaceae","7"
"Lacmellea panamensis (Woodson) Markgr.","Apocynaceae","7"
"Serpocaulon A.R.Sm.","Polypodiaceae","7"
"Connarus nervatus Cuatrec.","Connaraceae","7"
"Chrysochlamys nicaraguensis (Oerst.) Hemsl.","Clusiaceae","7"
"Tapirira Aubl.","Anacardiaceae","7"
"Cybianthus schlimii (Hook.fil.) G.Agostini","Primulaceae","7"
"Blakea florifera Gleason","Melastomataceae","7"
"Dieffenbachia seguine (Jacq.) Schott","Araceae","7"
"Phyllanthus anisolobus Müll.Arg.","Phyllanthaceae","7"
"Miconia intricata Triana","Melastomataceae","7"
"Guzmania testudinis L.B.Sm. & Read","Bromeliaceae","7"
"Codiaeum variegatum (L.) Rumph. ex A.Juss.","Euphorbiaceae","7"
"Polypodium fraxinifolium Jacq.","Polypodiaceae","7"
"Blakea calyptrata Gleason","Melastomataceae","7"
"Malachra ruderalis Gürke","Malvaceae","7"
"Croton sampatik Müll.Arg.","Euphorbiaceae","7"
"Heliconia atratensis Abalo & G.Morales","Heliconiaceae","7"
"Cavendishia foreroi Luteyn","Ericaceae","7"
"Erycina pusilla (L.) N.H.Williams & M.W.Chase","Orchidaceae","7"
"Cochliostema velutinum Read","Commelinaceae","7"
"Platyhypnidium aquaticum (A.Jaeger) M.Fleisch.","Brachytheciaceae","7"
"Miconia gracilis Triana","Melastomataceae","7"
"Calopogonium caeruleum (Benth.) C.Wright","Fabaceae","7"
"Coussarea grandifolia Rusby","Rubiaceae","7"
"Protium sagotianum Marchand","Burseraceae","7"
"Bignonia magnifica W.Bull","Bignoniaceae","7"
"Racinaea schumanniana (Wittm.) J.R.Grant","Bromeliaceae","7"
"Tibouchina triflora Gleason","Melastomataceae","7"
"Gonolobus antennatus Schltr.","Apocynaceae","7"
"Ctenidium malacodes Mitt.","Myuriaceae","7"
"Zanthoxylum martinicense subsp. amoyense (Tul.) Reynel","Rutaceae","7"
"Stachytarpheta Vahl","Verbenaceae","7"
"Bidens L.","Asteraceae","7"
"Baccharis decussata (Klatt) Hieron.","Asteraceae","7"
"Kigelia africana (Lam.) Benth.","Bignoniaceae","7"
"Solanum juglandifolium Humb. & Bonpl. ex Dunal","Solanaceae","7"
"Chrysobalanus icaco L.","Chrysobalanaceae","7"
"Inga villosissima Benth.","Fabaceae","7"
"Ludovia Brongn.","Cyclanthaceae","7"
"Besleria silverstoneana O.L.Cortés","Gesneriaceae","7"
"Salvia leucantha Cav.","Lamiaceae","7"
"Steiractinia sodiroi (Hieron.) S.F.Blake","Asteraceae","7"
"Besleria physaloides O.L.Cortés","Gesneriaceae","7"
"Cuatresia riparia var. riparia","Solanaceae","7"
"Trichomanes dactylites Sodiro","Hymenophyllaceae","7"
"Dennstaedtia arborescens (Willd.) E.Ekman ex Maxon","Dennstaedtiaceae","7"
"Columnea rubricalyx L.P.Kvist & L.E.Skog","Gesneriaceae","7"
"Dioclea guianensis Benth.","Fabaceae","7"
"Kalanchoe Adans.","Crassulaceae","7"
"Pavonia pseudotyphalea Planch. & Linden","Malvaceae","7"
"Arawakia rhizophoroides (Cuatrec.) L.Marinho","Clusiaceae","7"
"Bejaria Mutis ex L.","Ericaceae","7"
"Pitcairnia longipes Mez","Bromeliaceae","7"
"Viburnum tinoides L.fil.","Viburnaceae","7"
"Couepia platycalyx Cuatrec.","Chrysobalanaceae","7"
"Calopogonium mucunoides Desv.","Fabaceae","7"
"Dioclea pulchra Moldenke","Fabaceae","7"
"Pseudoxandra vallicola Maas","Annonaceae","7"
"Etlingera elatior (Jack) R.M.Sm.","Zingiberaceae","7"
"Malachra capitata (L.) L.","Malvaceae","7"
"Dioclea virgata (Rich.) Amshoff","Fabaceae","7"
"Asplenium cuspidatum Lam.","Aspleniaceae","7"
"Neckeropsis disticha (Hedw.) Kindb.","Neckeraceae","7"
"Megalastrum subincisum (Willd.) A.R.Sm. & R.C.Moran","Dryopteridaceae","7"
"Araucaria heterophylla (Salisb.) Franco","Araucariaceae","7"
"Solanum cordovense Moc. & Sessé","Solanaceae","7"
"Stenospermation popayanense Schott","Araceae","7"
"Thelypteris hispidula (Decne.) C.F.Reed","Thelypteridaceae","7"
"Phaseolus L.","Fabaceae","7"
"Miconia spiciformis Gamba & Almeda","Melastomataceae","7"
"Pitcairnia arcuata (André) André","Bromeliaceae","7"
"Neckera ehrenbergii Müll.Hal.","Neckeraceae","7"
"Xanthosoma hebetatum Croat & D.C.Bay","Araceae","7"
"Calatola Standl.","Metteniusaceae","7"
"Coccocypselum hirsutum Bartl. ex DC.","Rubiaceae","7"
"Costus guanaiensis Rusby","Costaceae","7"
"Cupressus lusitanica Mill.","Cupressaceae","7"
"Lepidaploa (Cass.) Cass.","Asteraceae","7"
"Sticherus bifidus (Willd.) Ching","Gleicheniaceae","7"
"Munnozia perfoliata (S.F.Blake) H.Rob. & Brettell","Asteraceae","7"
"Chromolaena subscandens (Hieron.) R.M.King & H.Rob.","Asteraceae","7"
"Amauropelta Kunze","Thelypteridaceae","7"
"Columnea pulcherrima C.V.Morton","Gesneriaceae","7"
"Mandevilla trianae Woodson","Apocynaceae","7"
"Cavendishia pilobracteata Luteyn","Ericaceae","7"
"Cytharexylum Jacq., 1760","Verbenaceae","7"
"Phoradendron piperoides (Kunth) Trel.","Viscaceae","7"
"Saurauia parviflora Triana & Planch.","Actinidiaceae","7"
"Solanum argenteum Dunal ex Poir.","Solanaceae","7"
"Aciotis ornata (Miq.) Gleason","Melastomataceae","7"
"Fissidens crispus Mont.","Fissidentaceae","7"
"Brunellia occidentalis Cuatrec.","Brunelliaceae","7"
"Cyathea darienensis R.C.Moran","Cyatheaceae","7"
"Portulaca oleracea L.","Portulacaceae","7"
"Brunfelsia grandiflora D.Don","Solanaceae","7"
"Inga pavoniana G.Don","Fabaceae","7"
"Citrus ×sinensis (L.) Osbeck","Rutaceae","7"
"Cardiospermum halicacabum L.","Sapindaceae","7"
"Xanthosoma sagittifolium (L.) Schott","Araceae","7"
"Verbenaceae","Verbenaceae","7"
"Dacryodes epimedia Daly & M.C.Martínez","Burseraceae","7"
"Geonoma orbignyana Mart.","Arecaceae","7"
"Bunchosia nitida (Jacq.) DC.","Malpighiaceae","7"
"Strychnos mitscherlichii M.R.Schomb.","Loganiaceae","7"
"Strychnos mitscherlichii var. mitscherlichii","Loganiaceae","7"
"Barbula occidentalis (Mitt.) Broth.","Pottiaceae","7"
"Arachis repens Handro","Fabaceae","7"
"Halenia tolimae Gilg","Gentianaceae","6"
"Epidendrum laeve Lindl.","Orchidaceae","6"
"Sphaeradenia acutitepala Harling","Cyclanthaceae","6"
"Solanum uncinellum Lindl.","Solanaceae","6"
"Epidendrum lanipes Lindl.","Orchidaceae","6"
"Clidemia rubra (Aubl.) Mart.","Melastomataceae","6"
"Gaultheria insipida Benth.","Ericaceae","6"
"Scaphyglottis longicaulis S.Watson","Orchidaceae","6"
"Sphaeropteris quindiuensis (H.Karst.) R.M.Tryon","Cyatheaceae","6"
"Blakea parasitica (Aubl.) D.Don","Melastomataceae","6"
"Lycianthes acidochondra (Bitter) Bitter","Solanaceae","6"
"Gomphrena serrata L.","Amaranthaceae","6"
"Polygala asperuloides Kunth","Polygalaceae","6"
"Polygala L.","Polygalaceae","6"
"Vriesea pereziana (André) L.B.Sm.","Bromeliaceae","6"
"Spigelia anthelmia L.","Loganiaceae","6"
"Microchilus giraldo-gensinii Ormerod","Orchidaceae","6"
"Pleurothallis calvariola Luer & R.Escobar","Orchidaceae","6"
"Adelonema wendlandii (Schott) S.Y.Wong & Croat","Araceae","6"
"Hymenocallis littoralis (Jacq.) Salisb.","Amaryllidaceae","6"
"Polygonum L.","Polygonaceae","6"
"Melochia spicata (L.) Fryxell","Malvaceae","6"
"Blakea cuatrecasii Gleason","Melastomataceae","6"
"Urceolina caucana (Meerow) Christenh. & Byng","Amaryllidaceae","6"
"Pleopeltis furcata (L.) A.R.Sm.","Polypodiaceae","6"
"Orthostichopsis praetermissa W.R.Buck","Pterobryaceae","6"
"Zanthoxylum quinduense Tul.","Rutaceae","6"
"Coussarea loftonii subsp. calimana C.M.Taylor","Rubiaceae","6"
"Vigna Savi","Fabaceae","6"
"Solanum schlechtendalianum Walp.","Solanaceae","6"
"Solanum psychotrioides Humb. & Bonpl. ex Dunal","Solanaceae","6"
"Stachys L.","Lamiaceae","6"
"Polypodium remotum Desv.","Polypodiaceae","6"
"Polystichum Roth","Dryopteridaceae","6"
"Hymenaea oblongifolia var. palustris (Ducke) Y.T.Lee & Langenh.","Fabaceae","6"
"Epidendrum leucochilum Link, Klotzsch & Otto","Orchidaceae","6"
"Steiractinia S.F.Blake","Asteraceae","6"
"Urochloa fusca (Sw.) B.F.Hansen & Wunderlin","Poaceae","6"
"Rollinia A.St.-Hil.","Annonaceae","6"
"Macromitrium guatemalense Müll.Hal.","Orthotrichaceae","6"
"Coursetia caribaea (Jacq.) Lavin","Fabaceae","6"
"Gynoxys florulenta Cuatrec.","Asteraceae","6"
"Couratari Aubl.","Lecythidaceae","6"
"Miconia dolichorrhyncha Naudin","Melastomataceae","6"
"Hymenophyllum polyanthos (Sw.) Sw.","Hymenophyllaceae","6"
"Hylocereus monacanthus (Lem.) Britton & Rose","Cactaceae","6"
"Ixora finlaysoniana Wall. ex G.Don","Rubiaceae","6"
"Couepia Aubl.","Chrysobalanaceae","6"
"Espeletia Mutis ex Humb. & Bonpl.","Asteraceae","6"
"Stenospermation monsalvae Croat & D.C.Bay","Araceae","6"
"Lycianthes radiata (Sendtn.) Bitter","Solanaceae","6"
"Costus plowmanii Maas","Costaceae","6"
"Porotrichodendron lindigii (Hampe) W.R.Buck","Neckeraceae","6"
"Miconia pterocaulon Triana","Melastomataceae","6"
"Stenospermation sodiroanum Engl.","Araceae","6"
"Miconia curvitheca Posada-Herrera & Humberto Mend.","Melastomataceae","6"
"Angelonia salicariifolia Bonpl.","Plantaginaceae","6"
"Solanum brevifolium Humb. & Bonpl. ex Dunal","Solanaceae","6"
"Cupressus macrocarpa Hartw.","Cupressaceae","6"
"Costus allenii Maas","Costaceae","6"
"Bazzania stolonifera (Sw.) Trevis.","Lepidoziaceae","6"
"Stigmatopteris heterophlebia (Baker) R.C.Moran","Dryopteridaceae","6"
"Ludwigia affinis (DC.) H.Hara","Onagraceae","6"
"Ossaea micrantha (Sw.) Macfad. ex Cogn.","Melastomataceae","6"
"Cosmos caudatus Kunth","Asteraceae","6"
"Solanum arboreum Humb. & Bonpl. ex Dunal","Solanaceae","6"
"Mouriri completens (Pittier) Burret","Melastomataceae","6"
"Posoqueria maxima Standl.","Rubiaceae","6"
"Glossoloma baguense (L.E.Skog) J.L.Clark","Gesneriaceae","6"
"Rollinia pachyantha Maas & Westra","Annonaceae","6"
"Bartramia angustifolia Mitt.","Bartramiaceae","6"
"Cyathea lindeniana C.Presl","Cyatheaceae","6"
"Microgramma reptans (Cav.) A.R.Sm.","Polypodiaceae","6"
"Hedyosmum scaberrimum Standl.","Chloranthaceae","6"
"Schistocarpha sinforosii Cuatrec.","Asteraceae","6"
"Stylogyne A.DC.","Primulaceae","6"
"Cyathea planadae Arens & A.R.Sm.","Cyatheaceae","6"
"Acmella oppositifolia (Lam.) R.K.Jansen","Asteraceae","6"
"Piper pulchrum C.DC.","Piperaceae","6"
"Andropogon bicornis L.","Poaceae","6"
"Elaeocarpaceae","Elaeocarpaceae","6"
"Guzmania triangularis L.B.Sm.","Bromeliaceae","6"
"Heisteria concinna Standl.","Erythropalaceae","6"
"Buchenavia pallidovirens Cuatrec.","Combretaceae","6"
"Elaphandra quinquenervis (S.F.Blake) H.Rob.","Asteraceae","6"
"Bactris kunorum de Nevers & Grayum","Arecaceae","6"
"Tristerix longebracteatus (Desr.) Barlow & Wiens","Loranthaceae","6"
"Puya hamata L.B.Sm.","Bromeliaceae","6"
"Alchornea coelophylla Pax & K.Hoffm.","Euphorbiaceae","6"
"Baccharis rufidula (Spreng.) Joch.Müll.","Asteraceae","6"
"Anthoxanthum odoratum L.","Poaceae","6"
"Miconia codonostigma Gleason & Wurdack","Melastomataceae","6"
"Azolla Lam.","Salviniaceae","6"
"Inga chartacea Poepp.","Fabaceae","6"
"Satyria bracteolosa A.C.Sm.","Ericaceae","6"
"Piper longispicum C.DC.","Piperaceae","6"
"Sobralia rosea Poepp. & Endl.","Orchidaceae","6"
"Holomitrium arboreum Mitt.","Dicranaceae","6"
"Cyclodictyon rubrisetum (Mitt.) Kuntze","Pilotrichaceae","6"
"Syrrhopodon isthmi W.D.Reese","Calymperaceae","6"
"Galinsoga Ruiz & Pav.","Asteraceae","6"
"Guzmania rugosa L.B.Sm. & Read","Bromeliaceae","6"
"Axinaea Ruiz & Pav.","Melastomataceae","6"
"Clibadium trianae (Hieron.) S.F.Blake","Asteraceae","6"
"Vesicularia subdenticulata (Müll.Hal.) Broth.","Hypnaceae","6"
"Inga sertulifera DC.","Fabaceae","6"
"Piper griseolimbum Trel. & Yunck.","Piperaceae","6"
"Smilax domingensis Willd.","Smilacaceae","6"
"Atrichum polycarpum (Müll.Hal.) Schimp. ex Mitt.","Polytrichaceae","6"
"Marcgraviastrum subsessile (Benth.) Bedell","Marcgraviaceae","6"
"Sapium glandulosum (L.) Morong","Euphorbiaceae","6"
"Amphilophium pannosum (A.DC.) Bureau & K.Schum.","Bignoniaceae","6"
"Lophocoleaceae","Lophocoleaceae","6"
"Cynoglossum amabile Stapf & J.R.Drumm.","Boraginaceae","6"
"Piper filistilum C.DC.","Piperaceae","6"
"Sloanea brevispina Earle Sm.","Elaeocarpaceae","6"
"Piper eriopodon (Miq.) C.DC.","Piperaceae","6"
"Cynophalla polyantha (Triana & Planch.) Cornejo & Iltis","Capparaceae","6"
"Trophis racemosa subsp. meridionalis (Bureau) W.C.Burger","Moraceae","6"
"Pradosia cuatrecasasii (Aubrév.) T.D.Penn.","Sapotaceae","6"
"Piper daguanum C.DC.","Piperaceae","6"
"Cyperus articulatus L.","Cyperaceae","6"
"Piper cornifolium Kunth","Piperaceae","6"
"Tectaria incisa Cav.","Tectariaceae","6"
"Siphocampylus Pohl","Campanulaceae","6"
"Caesalpinia cassioides Willd.","Fabaceae","6"
