"scientific_name","family","gbif_rec"
"Trema micranthum (L.) Blume","Cannabaceae","152"
"Iriartea deltoidea Ruiz & Pav.","Arecaceae","151"
"Guapira costaricana (Standl.) Woodson","Nyctaginaceae","150"
"Leucaena leucocephala (Lam.) de Wit","Fabaceae","150"
"Zanthoxylum rhoifolium Lam.","Rutaceae","147"
"Clarisia biflora Ruiz & Pav.","Moraceae","146"
"Guatteria Ruiz & Pav.","Annonaceae","145"
"Beilschmiedia costaricensis (Mez & Pittier) C.K.Allen","Lauraceae","145"
"Myrtaceae","Myrtaceae","145"
"Chrysochlamys dependens Planch. & Triana","Clusiaceae","145"
"Zea mays subsp. mays","Poaceae","145"
"Toxicodendron striatum (Ruiz & Pav.) Kuntze","Anacardiaceae","145"
"Cyathea J.E.Sm.","Cyatheaceae","144"
"Clitoria fairchildiana R.A.Howard","Fabaceae","142"
"Palicourea angustifolia Kunth","Rubiaceae","141"
"Besleria L.","Gesneriaceae","141"
"Croton schiedeanus Schltdl.","Euphorbiaceae","139"
"Ericaceae","Ericaceae","135"
"Gliricidia sepium (Jacq.) Kunth ex Walp.","Fabaceae","135"
"Fabaceae","Fabaceae","133"
"Burmeistera H.Karst. & Triana","Campanulaceae","133"
"Persea americana Mill.","Lauraceae","132"
"Moraceae","Moraceae","131"
"Chelyocarpus dianeurus (Burret) H.E.Moore","Arecaceae","130"
"Annona muricata L.","Annonaceae","130"
"Furcraea cabuya Trel.","Asparagaceae","129"
"Blakea P.Browne","Melastomataceae","129"
"Asterogyne martiana (H.Wendl.) H.Wendl.","Arecaceae","129"
"Cordia alliodora (Ruiz & Pav.) Oken","Cordiaceae","128"
"Symphonia globulifera L.fil.","Clusiaceae","127"
"Avicennia germinans (L.) L.","Acanthaceae","126"
"Cestrum L.","Solanaceae","126"
"Pisonia aculeata L.","Nyctaginaceae","125"
"Pleurothallis R.Br.","Orchidaceae","123"
"Cavendishia Lindl.","Ericaceae","120"
"Anthurium nigrescens Engl.","Araceae","120"
"Pteridium aquilinum (L.) Kuhn","Dennstaedtiaceae","118"
"Tillandsia usneoides (L.) L.","Bromeliaceae","118"
"Poaceae","Poaceae","117"
"Protium Burm.f.","Burseraceae","117"
"Chamaedorea Willd.","Arecaceae","115"
"Heliconia L.","Heliconiaceae","115"
"Syagrus sancona (Kunth) H.Karst.","Arecaceae","114"
"Zanthoxylum fagara (L.) Sarg.","Rutaceae","113"
"Gesneriaceae","Gesneriaceae","112"
"Licania Aubl.","Chrysobalanaceae","111"
"Cecropia angustifolia Trécul","Urticaceae","108"
"Mora oleifera (Triana ex Hemsl.) Ducke","Fabaceae","108"
"Ladenbergia oblongifolia (Humb. ex Mutis) L.Andersson","Rubiaceae","107"
"Bactris hondurensis Standl.","Arecaceae","107"
"Caesalpinia pluviosa DC.","Fabaceae","107"
"Casearia aculeata Jacq.","Salicaceae","105"
"Geonoma interrupta (Ruiz & Pav.) Mart.","Arecaceae","104"
"Hamelia patens Jacq.","Rubiaceae","104"
"Chiococca alba (L.) Hitchc.","Rubiaceae","101"
"Nectandra acutifolia (Ruiz & Pav.) Mez","Lauraceae","101"
"Geonoma cuneata H.Wendl. ex Spruce","Arecaceae","100"
"Acalypha diversifolia Jacq.","Euphorbiaceae","100"
"Oreopanax incisus (Willd. ex Schult.) Decne. & Planch.","Araliaceae","98"
"Meriania speciosa (Bonpl.) Naudin","Melastomataceae","98"
"Siparuna laurifolia (Kunth) A.DC.","Siparunaceae","98"
"Guarea Allemão ex L.","Meliaceae","98"
"Clusiaceae","Clusiaceae","97"
"Cordia L.","Cordiaceae","96"
"Geonoma Willd.","Arecaceae","95"
"Sciodaphyllum P.Browne","Araliaceae","95"
"Myrcia DC. ex Guill.","Myrtaceae","95"
"Urera baccifera (L.) Gaudich. ex Wedd.","Urticaceae","95"
"Epidendrum L.","Orchidaceae","94"
"Roystonea regia (Kunth) O.F.Cook","Arecaceae","94"
"Arecaceae","Arecaceae","93"
"Croton L.","Euphorbiaceae","93"
"Hypericum laricifolium Juss.","Hypericaceae","93"
"Chamaedorea pinnatifrons (Jacq.) Oerst.","Arecaceae","93"
"Paullinia globosa Killip & Cuatrec.","Sapindaceae","92"
"Heliconia griggsiana L.B.Sm.","Heliconiaceae","91"
"Pouteria buenaventurensis (Aubrév.) Pilz","Sapotaceae","91"
"Urera baccifera (L.) Gaudich.","Urticaceae","89"
"Geissanthus bogotensis Mez","Primulaceae","89"
"Anacardium excelsum (Bertero & Balb.) Skeels","Anacardiaceae","89"
"Anthurium verrucosum Croat & D.C.Bay","Araceae","88"
"Persea rigens C.K.Allen","Lauraceae","88"
"Otoba latialata (Pittier) A.H.Gentry","Myristicaceae","88"
"Faramea calophylla Standl.","Rubiaceae","87"
"Kohleria spicata (Kunth) Oerst.","Gesneriaceae","87"
"Ochroma pyramidale (Cav.) Urb.","Malvaceae","87"
"Spathodea campanulata Beauverd","Bignoniaceae","87"
"Erythroxylum citrifolium A.St.-Hil.","Erythroxylaceae","87"
"Pholidostachys dactyloides H.E.Moore","Arecaceae","87"
"Brosimum utile subsp. occidentale C.C.Berg","Moraceae","86"
"Cecropia Loefl.","Urticaceae","85"
"Siparuna aspera (Ruiz & Pav.) A.DC.","Siparunaceae","85"
"Geonoma paradoxa Burret","Arecaceae","85"
"Cinchona pubescens Vahl","Rubiaceae","85"
"Palicourea andaluciana Standl.","Rubiaceae","84"
"Pernettya prostrata (Cav.) Sleumer","Ericaceae","84"
"Selaginella P.Beauv.","Selaginellaceae","83"
"Laguncularia racemosa (L.) C.F.Gaertn.","Combretaceae","83"
"Ipomoea batatas (L.) Lam.","Convolvulaceae","83"
"Saurauia Willd.","Actinidiaceae","83"
"Cyclanthaceae","Cyclanthaceae","83"
"Dendropanax Decne. & Planch.","Araliaceae","83"
"Schefflera J.R.Forst. & G.Forst.","Araliaceae","83"
"Lecythidaceae","Lecythidaceae","83"
"Osteophloeum platyspermum (A.DC.) Warb.","Myristicaceae","82"
"Philodendron hebetatum Croat","Araceae","82"
"Siparuna Aubl.","Siparunaceae","82"
"Bactris setulosa H.Karst.","Arecaceae","81"
"Tecoma stans (L.) Juss. ex Kunth","Bignoniaceae","81"
"Couroupita guianensis Aubl.","Lecythidaceae","81"
"Passiflora L.","Passifloraceae","81"
"Pholidostachys pulchra H.Wendl. ex Burret","Arecaceae","80"
"Bactris coloradonis L.H.Bailey","Arecaceae","80"
"Rivina humilis L.","Phytolaccaceae","80"
"Chrysobalanaceae","Chrysobalanaceae","80"
"Myrsine latifolia (Ruiz & Pav.) Spreng.","Primulaceae","80"
"Anaxagorea allenii R.E.Fr.","Annonaceae","80"
"Casearia sylvestris Sw.","Salicaceae","79"
"Ocotea macrophylla Kunth","Lauraceae","79"
"Zanthoxylum caribaeum Lam.","Rutaceae","79"
"Palicourea demissa Standl.","Rubiaceae","79"
"Iryanthera ulei Warb.","Myristicaceae","79"
"Stelis Sw.","Orchidaceae","78"
"Anthurium guayaquilense Engl.","Araceae","78"
"Anthurium monticola var. attenuatum Croat & D.C.Bay","Araceae","78"
"Espeletia hartwegiana Sch.Bip.","Asteraceae","78"
"Weinmannia mariquitae Szyszyl.","Cunoniaceae","77"
"Laetia americana L.","Salicaceae","77"
"Gliricidia sepium (Jacq.) Kunth","Fabaceae","77"
"Attalea amygdalina Kunth","Arecaceae","77"
"Rhipsalis baccifera (J.S.Muell.) Stearn","Cactaceae","76"
"Alchornea Sw.","Euphorbiaceae","76"
"Guzmania Ruiz & Pav.","Bromeliaceae","76"
"Matisia Humb. & Bonpl.","Malvaceae","76"
"Elaeagia asperula Standl. ex Steyerm.","Rubiaceae","75"
"Musa ×sapientum L.","Musaceae","74"
"Lantana camara L.","Verbenaceae","74"
"Samanea saman (Jacq.) Merr.","Fabaceae","74"
"Columnea dimidiata (Benth.) Kuntze","Gesneriaceae","74"
"Ceiba pentandra (L.) Gaertn.","Malvaceae","74"
"Guettarda crispiflora Vahl","Rubiaceae","74"
"Anthurium wattii Croat & D.C.Bay","Araceae","73"
"Bryophyta",NULL,"72"
"Poulsenia armata (Miq.) Standl.","Moraceae","72"
"Monstera Adans.","Araceae","72"
"Columnea rubriacuta (Wiehler) L.P.Kvist & L.E.Skog","Gesneriaceae","71"
"Erythrina fusca Lour.","Fabaceae","71"
"Trichilia havanensis Jacq.","Meliaceae","71"
"Centropogon C.Presl","Campanulaceae","71"
"Nectandra purpurea (Ruiz & Pav.) Mez","Lauraceae","71"
"Monstera adansonii Schott","Araceae","71"
"Syzygium malaccense (L.) Merr. & L.M.Perry","Myrtaceae","70"
"Protium nervosum Cuatrec.","Burseraceae","70"
"Alchornea glandulosa Poepp.","Euphorbiaceae","70"
"Philodendron monsalveae Croat & D.C.Bay","Araceae","70"
"Lycoseris mexicana (L.fil.) Cass.","Asteraceae","69"
"Enterolobium cyclocarpum (Jacq.) Griseb.","Fabaceae","69"
"Oreopanax Decne. & Planch.","Araliaceae","69"
"Philodendron scalarinerve Croat & Grayum","Araceae","69"
"Melicoccus bijugatus Jacq.","Sapindaceae","69"
"Clidemia D.Don","Melastomataceae","68"
"Euphorbiaceae","Euphorbiaceae","68"
"Philodendron roseocataphyllum Croat & M.M.Mora","Araceae","68"
"Persea caerulea (Ruiz & Pav.) Mez","Lauraceae","68"
"Psammisia Klotzsch","Ericaceae","67"
"Anthurium pulverulentum Sodiro","Araceae","67"
"Anthurium calimense Croat & D.C.Bay","Araceae","67"
"Anthurium oxyanthum Croat & D.C.Bay","Araceae","67"
"Zanthoxylum monophyllum (Lam.) P.Wilson","Rutaceae","66"
"Burseraceae","Burseraceae","66"
"Zanthoxylum L.","Rutaceae","66"
"Thunbergia alata Bojer ex Sims","Acanthaceae","66"
"Phaseolus vulgaris L.","Fabaceae","66"
"Asplundia Harling","Cyclanthaceae","66"
"Pitcairnia L'Hér.","Bromeliaceae","66"
"Calamagrostis Adans.","Poaceae","66"
"Cuphea racemosa (L.fil.) Spreng.","Lythraceae","65"
"Murraya paniculata (L.) Jacq.","Rutaceae","65"
"Tococa guianensis Aubl.","Melastomataceae","65"
"Asclepias curassavica L.","Apocynaceae","65"
"Trichostigma octandrum (L.) H.Walter","Phytolaccaceae","65"
"Brosimum utile (Kunth) Oken","Moraceae","65"
"Acalypha L.","Euphorbiaceae","64"
"Sida rhombifolia L.","Malvaceae","64"
"Casearia Jacq.","Salicaceae","64"
"Miconia acuminifera Triana","Melastomataceae","64"
