"scientific_name","family","taxonrank","gbif_rec"
"Hyloxalus abditaurantius (Silverstone, 1975)","Dendrobatidae","SPECIES","37"
"Hyalinobatrachium aureoguttatum (Barrera-Rodriguez & Ruiz-Carranza, 1989)","Centrolenidae","SPECIES","37"
"Strabomantis ruizi (Lynch, 1981)","Craugastoridae","SPECIES","36"
"Lithobates vaillanti (Brocchi, 1877)","Ranidae","SPECIES","35"
"Hyloscirtus alytolylax (Duellman, 1972)","Hylidae","SPECIES","35"
"Eleutherodactylus w-nigrum (Boettger, 1892)","Craugastoridae","SPECIES","34"
"Boana rosenbergi (Boulenger, 1898)","Hylidae","SPECIES","33"
"Allobates talamancae (Cope, 1875)","Aromobatidae","SPECIES","32"
"Eleutherodactylus gracilis Lynch, 1986","Craugastoridae","SPECIES","32"
"Atelopus spurrelli Boulenger, 1914","Bufonidae","SPECIES","32"
"Strabomantis bufoniformis (Boulenger, 1896)","Craugastoridae","SPECIES","31"
"Hyloxalus lehmanni (Silverstone, 1971)","Dendrobatidae","SPECIES","31"
"Eleutherodactylus palmeri (Boulenger, 1912)","Craugastoridae","SPECIES","31"
"Eleutherodactylus brevifrons Lynch, 1981","Craugastoridae","SPECIES","30"
"Bolitoglossa biseriata Tanner, 1962","Plethodontidae","SPECIES","29"
"Eleutherodactylus silverstonei Lynch & Ruiz-Carranza, 1996","Craugastoridae","SPECIES","29"
"Eleutherodactylus angustilineatus Lynch, 1998","Craugastoridae","SPECIES","29"
"Pristimantis colomai (Lynch & Duellman, 1997)","Craugastoridae","SPECIES","28"
"Pristimantis permixtus (Lynch, Ruiz-Carranza & Ardila-Robayo, 1994)","Craugastoridae","SPECIES","28"
"Sachatamia ilex (Savage, 1967)","Centrolenidae","SPECIES","27"
"Hypsiboas picturatus (Boulenger, 1899)","Hylidae","SPECIES","26"
"BOLD:ACI2591","Craugastoridae","UNRANKED","26"
"Strabomantis cerastes (Lynch, 1975)","Craugastoridae","SPECIES","25"
"Pristimantis molybrignus (Lynch, 1986)","Craugastoridae","SPECIES","24"
"Agalychnis spurrelli Boulenger, 1913","Phyllomedusidae","SPECIES","23"
"Pristimantis supernatis (Lynch, 1979)","Craugastoridae","SPECIES","23"
